@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 203\nSize of the tree: 405\n','Number of leaves: 194\nSize of the tree: 387\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 215\nSize of the tree: 429\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 212\nSize of the tree: 423\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 217\nSize of the tree: 433\n','Number of leaves: 214\nSize of the tree: 427\n','Number of leaves: 207\nSize of the tree: 413\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 210\nSize of the tree: 419\n','Number of leaves: 193\nSize of the tree: 385\n','Number of leaves: 206\nSize of the tree: 411\n','Number of leaves: 201\nSize of the tree: 401\n','Number of leaves: 205\nSize of the tree: 409\n','Number of leaves: 197\nSize of the tree: 393\n','Number of leaves: 209\nSize of the tree: 417\n','Number of leaves: 202\nSize of the tree: 403\n','Number of leaves: 189\nSize of the tree: 377\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 198\nSize of the tree: 395\n','Number of leaves: 200\nSize of the tree: 399\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 219\nSize of the tree: 437\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 226\nSize of the tree: 451\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 236\nSize of the tree: 471\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 227\nSize of the tree: 453\n','Number of leaves: 242\nSize of the tree: 483\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 222\nSize of the tree: 443\n','Number of leaves: 220\nSize of the tree: 439\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 230\nSize of the tree: 459\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 229\nSize of the tree: 457\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 225\nSize of the tree: 449\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

optdigits,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,508,54,0,90.391459,9.608541,0,0.893234,0.020827,0.135854,11.570922,45.284942,1866.873627,49462.372188,-47595.498561,3.321839,88.011338,-84.689499,1672.433874,2.975861,89.584739,0.963636,53,0.001972,1,0.998028,506,0.036364,2,0.981481,0.963636,0.972477,0.969572,0.981782,0.967195,0.903915,0.010701,0.989299,0.096085,0.905608,0.903915,0.90385,0.893722,0.949753,0.841821,0.903949,0.903915,0.307,0.002,0.28125,0.015625,281.25,15.625,158686,2781178,312874,90.391459,10.676157,'Number of leaves: 224\nSize of the tree: 447\n',447,224,224
optdigits,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,514,48,0,91.459075,8.540925,0,0.905104,0.018924,0.125327,10.513468,41.77614,1866.835029,38725.291554,-36858.456525,3.321771,68.906213,-65.584442,1698.038837,3.021421,90.958162,0.928571,52,0.001976,1,0.998024,505,0.071429,4,0.981132,0.928571,0.954128,0.949648,0.963368,0.919516,0.914591,0.009437,0.990563,0.085409,0.916665,0.914591,0.91492,0.905876,0.959114,0.882464,0.914833,0.914591,0.293,0,0.296875,0,296.875,0,153898,2781178,312874,92.704626,10.729537,'Number of leaves: 217\nSize of the tree: 433\n',433,217,217
optdigits,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,510,52,0,90.747331,9.252669,0,0.897189,0.020696,0.130346,11.498185,43.449216,1866.831946,43020.488299,-41153.656353,3.321765,76.548912,-73.227147,1681.862511,2.992638,90.0918,0.963636,53,0.003945,2,0.996055,505,0.036364,2,0.963636,0.963636,0.963636,0.959692,0.979738,0.937902,0.907473,0.01033,0.98967,0.092527,0.908833,0.907473,0.907351,0.897518,0.955346,0.869786,0.907712,0.907473,0.253,0,0.25,0,250,0,151846,2781178,312874,92.170819,11.085409,'Number of leaves: 214\nSize of the tree: 427\n',427,214,214
optdigits,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,510,52,0,90.747331,9.252669,0,0.897192,0.020567,0.132905,11.42656,44.301902,1866.864031,48377.07195,-46510.207919,3.321822,86.080199,-82.758377,1679.615634,2.98864,89.969896,0.981818,54,0.005917,3,0.994083,504,0.018182,1,0.947368,0.981818,0.964286,0.960523,0.989277,0.965746,0.907473,0.010279,0.989721,0.092527,0.908407,0.907473,0.907646,0.897538,0.947485,0.831052,0.907702,0.907473,0.252,0,0.265625,0,265.625,0,147058,2781178,312874,91.281139,10.516014,'Number of leaves: 207\nSize of the tree: 413\n',413,207,207
optdigits,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,500,62,0,88.967972,11.032028,0,0.877426,0.023489,0.141463,13.049753,47.154813,1866.864031,48409.487629,-46542.623598,3.321822,86.137878,-82.816056,1653.569895,2.942295,88.574736,0.981818,54,0.009862,5,0.990138,502,0.018182,1,0.915254,0.981818,0.947368,0.942154,0.989206,0.964803,0.88968,0.012217,0.987783,0.11032,0.892944,0.88968,0.890177,0.878627,0.946096,0.837777,0.890115,0.88968,0.26,0,0.25,0,250,0,154582,2781178,312874,91.103203,10.907473,'Number of leaves: 218\nSize of the tree: 435\n',435,218,218
optdigits,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,504,58,0,89.679715,10.320285,0,0.885328,0.023483,0.142057,13.046352,47.352564,1866.902349,52694.261566,-50827.359216,3.32189,93.762031,-90.440141,1653.543465,2.942248,88.571503,0.963636,53,0.001972,1,0.998028,506,0.036364,2,0.981481,0.963636,0.972477,0.969572,0.979846,0.94869,0.896797,0.01148,0.98852,0.103203,0.897088,0.896797,0.896706,0.885376,0.942959,0.8122,0.896791,0.896797,0.254,0,0.234375,0,234.375,0,149110,2781178,312874,90.035587,10.658363,'Number of leaves: 210\nSize of the tree: 419\n',419,210,210
optdigits,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,510,52,0,90.747331,9.252669,0,0.897194,0.020905,0.128412,11.613814,42.80399,1866.902349,34484.916388,-32618.014038,3.32189,61.361061,-58.039171,1683.576506,2.995688,90.180213,0.981818,54,0.005917,3,0.994083,504,0.018182,1,0.947368,0.981818,0.964286,0.960523,0.989779,0.964795,0.907473,0.010279,0.989721,0.092527,0.908239,0.907473,0.907034,0.897259,0.961502,0.881031,0.907136,0.907473,0.267,0,0.265625,0,265.625,0,145006,2781178,312874,92.170819,10.960854,'Number of leaves: 204\nSize of the tree: 407\n',407,204,204
optdigits,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,514,48,0,91.459075,8.540925,0,0.905099,0.01883,0.12305,10.461462,41.016809,1866.873627,34443.404153,-32576.530526,3.321839,61.287196,-57.965357,1702.628865,3.029589,91.202149,0.963636,53,0.005917,3,0.994083,504,0.036364,2,0.946429,0.963636,0.954955,0.950067,0.98033,0.94935,0.914591,0.009511,0.990489,0.085409,0.915678,0.914591,0.914779,0.905487,0.964355,0.888398,0.914915,0.914591,0.253,0,0.25,0,250,0,145006,2781178,312874,93.41637,10.978648,'Number of leaves: 204\nSize of the tree: 407\n',407,204,204
optdigits,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,501,61,0,89.145907,10.854093,0,0.879399,0.02326,0.143243,12.922175,47.747741,1866.905681,54822.389913,-52955.484232,3.321896,97.548736,-94.22684,1654.179737,2.94338,88.605426,0.964286,54,0.009881,5,0.990119,501,0.035714,2,0.915254,0.964286,0.93913,0.932592,0.979108,0.917093,0.891459,0.01206,0.98794,0.108541,0.892027,0.891459,0.891208,0.879477,0.943177,0.816202,0.891261,0.891459,0.277,0,0.28125,0,281.25,0,137482,2781178,312874,90.035587,10.480427,'Number of leaves: 193\nSize of the tree: 385\n',385,193,193
optdigits,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,507,55,0,90.213523,9.786477,0,0.891258,0.022145,0.135624,12.302927,45.208395,1866.886237,40928.072405,-39061.186168,3.321862,72.825752,-69.50389,1667.385796,2.966879,89.313733,0.964286,54,0.007905,4,0.992095,502,0.035714,2,0.931034,0.964286,0.947368,0.941609,0.988919,0.947995,0.902135,0.010894,0.989106,0.097865,0.903539,0.902135,0.902029,0.891648,0.95454,0.850347,0.902115,0.902135,0.269,0,0.25,0,250,0,146374,2781178,312874,91.103203,10.978648,'Number of leaves: 206\nSize of the tree: 411\n',411,206,206
